mistake_id	text_id	sentence_id	mistake_type	error_span	correction	span_start	span_end
1	9	1	Redundant_comp	of amount of people of age		65	91
8	9	7	Articles	USA	the USA	851	854
4	11	8	Tense_form	risen	is to rise	1059	1064
5	11	1	Articles	USA	the USA	106	109
8	11	2	Tense_choice	risen	is to rise	205	210
6	11	1	Redundant_comp	a population of people	a population	21	43
9	11	3	Articles	USA		331	334
24	11	3	Absence_explanation	was continning	remained as such	426	440
25	11	3	Tense_choice	was continning	remained as such	426	440
11	11	3	lex_item_choice	was continning	remained as such	426	440
1	11	3	Spelling	continning	continuing	430	440
41	11	4	Word_order	Sweden and USA lines	the lines for Sweden and the USA	585	605
14	11	4	Articles	USA	the USA	596	599
40	11	1	Prepositions	since	from	66	71
31	11	5	lex_item_choice	similar	the same	703	710
19	11	6	Articles	1st	the 1st	865	868
3	11	6	Absence_explanation	1st place	the 1st place concerning the percentage of the elderly	865	874
4	12	11	Spelling	engeneering	engineering 	1015	1026
2	12	2	Spelling	comporison	comparison	102	112
11	12	11	lex_item_choice	then	than	1054	1058
6	12	2	Articles	middle-ages	the Middle Ages	118	129
5	12	12	Noun_number	subject	subjects	1219	1226
1	12	13	Spelling	acceptence	acceptance	1335	1345
15	12	13	Formational_affixes	acceptence	acceptance	1335	1345
1	13	1	Absence_comp_sent	the proportion the population	the proportion of the population	22	51
9	13	4	lex_item_choice	The first	Firstly	222	231
2	13	4	lex_part_choice	is in between	is between	285	298
4	13	4	Redundant_comp	in		288	290
16	13	5	Tense_form	is slighly dicrease	is slightly decreasing	389	408
3	13	5	Spelling	slighly	slightly	392	399
34	13	9	Word_order	between 2020 and 2040 how the proportion sharply grows up	how the percentage sharply increases between 2020 and 2040	857	914
22	13	9	Redundant_comp	proportion	percentage	887	897
24	13	9	Relative_clause	that	which	945	949
13	13	9	Absence_comp_sent	that	which is	945	949
11	14	1	Voice	are studied	study	44	55
12	14	6	Word_choice	do	make	511	513
9	15	1	suggestion	which	whose 	66	71
11	15	8	Articles	population	the population	709	719
32	16	14	Linking_device	to accept person	whether to accept a person	1506	1522
33	16	14	Articles	person	a person	1516	1522
8	16	3	Articles	the university	a university	161	175
34	16	15	Category_confusion	male	a man	1694	1698
13	17	3	Word_order	The most unsimilar line to others	The line least similar to the others	293	326
12	17	3	Comparative_constr	most unsimilar	least similar	297	311
1	17	3	Spelling	unsimilar	dissimilar	302	311
27	17	3	Formational_affixes	unsimilar	dissimilar	302	311
2	17	5	Spelling	fastly	fast	555	561
17	17	5	lex_item_choice	fastly	sharply	555	561
4	18	2	Articles	an obvious fact	the obvious fact	124	139
8	18	13	Word_choice	of solution of	to solve	1363	1377
1	18	2	Articles	the opponents	opponents	156	169
3	18	15	Pronouns	its	their	1641	1644
26	20	1	Articles	The ament University system	University system	0	27
50	20	8	Tense_choice	is	has traditionally been	1008	1010
51	20	8	Word_order	is a low percentage of male or female students traditionally	has traditionally been low percentage of male or female students	1008	1068
52	20	8	Articles	a low percentage	low percentage	1011	1027
14	20	1	Spelling	stayes on the nessecity of	states the need for	112	138
29	20	1	Word_choice	stayes on the nessecity of	states the need for	112	138
53	20	9	Determiners	each	either	1135	1139
60	20	10	Category_confusion	the males	male students	1225	1234
18	20	10	Articles	the males	male students	1225	1234
24	20	11	Tense_form	does not alwayes tied	is not always tied	1350	1371
19	20	11	Spelling	alwayes	always	1359	1366
20	20	12	Word_choice	Some mechanic equaling	Just observing equal numbers of applicants of ether gender	1387	1409
2	20	1	Spelling	equaling	equalling	139	147
30	20	1	Category_confusion	equaling the number	equal numbers	139	158
5	20	12	Spelling	equaling	equalling	1401	1409
64	20	12	Word_choice	on the pooth of	in	1576	1591
10	20	12	Spelling	pooth	path	1583	1588
1	20	4	Spelling	attendency	attendance	386	396
35	20	4	lex_part_choice	attendency	enrolment	386	396
65	20	4	Formational_affixes	attendency	attendance	386	396
7	20	1	Spelling	ament	current	4	9
11	20	1	Redundant_comp	ament		4	9
23	20	4	Word_order	enough liberalised	liberalised enough	407	425
3	20	6	Spelling	equaling	equalling	656	664
41	20	6	Category_confusion	equaling the numbers	equal numbers	656	676
43	20	6	Agreement_errors	correlates	correlate	677	687
42	20	6	Word_order	correlates with the fairness of getting the higher education in noway	in no way correlate with the fairness of getting the higher education	677	746
13	20	1	Spelling	obshtcles	obstacles	68	77
6	20	6	Spelling	noway	no way	741	746
27	20	1	Punctuation	however	however,	79	86
9	20	7	Spelling	formaly	formally	794	801
2	21	10	Spelling	polulution	population	1117	1127
36	21	10	Articles	polulution	the population	1117	1127
66	21	10	Word_order	65 aged persons	aged over 65	1128	1143
65	21	10	Absence_explanation	65 aged persons	aged over 65	1128	1143
67	21	10	Absence_explanation	egual	equal in these countries	1159	1164
9	21	10	Spelling	egual	equal	1159	1164
39	21	2	Voice	is taken	took	209	217
48	21	2	Tense_choice	is taken	took	209	217
6	21	2	Category_confusion	japanese	for Japan 	239	247
50	21	2	Absence_comp_sent	japanese	for Japan	239	247
52	21	3	Articles	a peak	the peak	298	304
46	21	1	Prepositional_noun	information of	information on	30	44
45	21	1	Articles	information	the information	30	41
37	21	3	Determiners	all of three countries	all three countries	323	345
53	21	3	Tense_choice	is real held	will really be	346	358
54	21	3	Voice	is real held	will really be	346	358
56	21	3	Category_confusion	real	really	349	353
40	21	4	Spelling	Tendences	Tendencies 	369	378
75	21	4	Formational_affixes	Tendences	Tendencies	369	378
47	21	1	Articles	changing proportions	the changing proportion	45	65
5	21	4	Spelling	situvoion	situation	461	470
58	21	5	Tense_choice	is steadly growing	grew steadily	568	586
4	21	5	Spelling	steadly	steadily	571	578
19	21	6	Absence_explanation	had steady decreasing	it decreased steadily	645	666
61	21	6	Category_confusion	steady	steadily	649	655
43	21	1	Spelling	polulation	population	69	79
20	21	7	lex_item_choice	Fluctuation	the proportion	707	718
69	21	7	Articles	Fluctuation	the proportion	707	718
68	21	7	Absence_explanation	Fluctuation of	the proportion of elderly people in	707	721
23	21	8	lex_item_choice	part	the share	770	774
70	21	8	Articles	part	the share	770	774
24	21	8	Articles	elders	the elderly	778	784
71	21	8	Formational_affixes	elders	the elderly	778	784
11	21	1	Word_order	65 aged people	people aged 65	80	94
25	21	8	Prepositions	period	period of	801	807
74	21	8	lex_item_choice	keeps	has maintained	852	857
73	21	8	Tense_choice	keeps	has maintained	852	857
63	21	9	Absence_explanation	for	of the elderly	969	972
32	21	9	Articles	for	of	969	972
64	21	9	Prepositions	all of three	in all three	973	985
8	21	9	Determiners	all of three	all three	973	985
11	22	1	Spelling	movemerts	movements 	101	110
12	22	9	Spelling	esperiully	especially 	1038	1048
22	22	9	Determiners	question	the matter	1052	1060
52	22	9	lex_item_choice	question	the matter	1052	1060
55	22	10	Punctuation	In different point of view	FRom. another point of view,	1076	1102
54	22	10	lex_part_choice	In different point of view	From another point of view,	1076	1102
23	22	10	Determiners	situation	the situation	1103	1112
38	22	1	Agreement_errors	has lead	have led	111	119
24	22	10	Prepositions	in	with	1113	1115
25	22	10	lex_item_choice	start tendency on	tend	1174	1191
57	22	10	Articles	tendency on	the process of	1180	1191
58	22	10	Word_choice	tendency on	the process of	1180	1191
10	22	1	Spelling	resullts	results	131	139
27	22	12	Spelling	women-poliyics	women-politics	1362	1376
32	22	2	Articles	tendency	the tendency 	155	163
28	22	16	Determiners	fair fight	a fair fight	1555	1565
40	22	1	Articles	the sex descrimination	gender discrimination	16	38
29	22	16	Agreement_errors	know	knows	1609	1613
60	22	16	Word_order	female important	important female	1658	1674
42	22	2	Word_order	acceptiry in the Universities same proportions of male and female students in each subject	accepting the same proportions of male and female students in each subject to universities 	167	257
43	22	2	Verb_pattern	acceptiry in	accepting to	167	179
63	22	2	Category_confusion	acceptiry	accepting	167	176
1	22	2	Spelling	acceptiry	accepting	167	176
61	22	17	Inappropriate_register	can't	cannot	1711	1716
45	22	2	Articles	same proportions	the same proportions	197	213
39	22	1	lex_item_choice	sex	gender	20	23
3	22	1	Spelling	descrimination	discrimination	24	38
46	22	3	Redundant_comp	posed		289	294
41	22	1	Word_choice	was opened	became important	39	49
64	22	4	Formational_affixes	civilizated	civilized	393	404
9	22	4	Spelling	civilizated	civilized	393	404
37	22	1	lex_item_choice	question	issue	4	12
45	24	9	Agreement_errors	is	were	1024	1026
12	24	9	Tense_choice	is	were	1024	1026
3	24	9	Spelling	pretendends	pretenders	1138	1149
48	24	9	lex_item_choice	pretendends	applicants	1138	1149
53	24	2	Articles	the	"delete ""the"""	132	135
20	24	10	Articles	total number	the total number	1341	1353
58	24	5	Punctuation	while the men were involved in math or technical disciplines	, while men have always been involved in math or technical disciplines,	619	679
7	24	5	Articles	the men	men	625	632
1	24	6	Spelling	Saint-Perersburg	saint-Saint-Petersburg	763	779
52	24	2	Word_choice	female	women	77	83
33	24	6	Punctuation	,		779	780
42	24	7	Ref_device	this	the proposed	916	920
39	24	7	Word_order	this order no doubt will be unfair	No doubt the proposed state of things would be unfair	916	950
37	24	7	Word_choice	order	state of things	921	926
14	25	2	Word_order	to rise of the population	of the population to rise 	154	179
5	25	1	Articles	difference	the difference	16	26
15	25	2	Absence_comp_sent	aged 65 and over	of individuals aged 65 and over 	180	196
12	25	1	Word_order	65 ages citizens	citizens aged 65 and older 	45	61
2	25	4	lex_part_choice	65-years		454	462
54	26	1	Articles	modern	the modern 	101	107
43	26	10	Punctuation	"tell ""You"	"tell us, ""You"	1017	1026
42	26	10	Verb_pattern	tell	tell us	1017	1021
18	26	1	Articles	difference	the difference	13	23
21	26	1	Noun_number	question	questions	132	140
17	26	11	Agreement_errors	person do	person does	1322	1331
5	26	1	Articles	large amount	a large number	190	202
6	26	1	lex_item_choice	amount	number	196	202
19	26	1	Absence_comp_sent	male and female	the numbers of male and female students	32	47
20	26	1	Absence_explanation	male and female	the numbers of male and female students	32	47
4	26	2	Noun_number	spheres	sphere	324	331
1	26	3	Spelling	benifit	beneficial	401	408
9	26	3	Category_confusion	benifit	beneficial	401	408
15	26	1	Spelling	studing	study 	72	79
33	26	7	Voice	is needed in	need	721	733
39	26	7	Absence_comp_sent	building or some technique specialization, engeneering	building or engineering may do	757	811
37	26	7	Redundant_comp	some technique specialization,		769	799
7	27	1	Articles	USA	the USA	101	104
31	27	11	Absence_explanation	population	the elderly population	1027	1037
15	27	1	lex_item_choice	amount	the percentage	31	37
6	27	1	Articles	amount	the percentage	31	37
9	27	4	Articles	USA	the USA	332	335
34	27	5	Word_order	USA's one	the one for the USA	433	442
5	27	5	Articles	USA's	the USA	433	438
1	27	6	Spelling	2010s	2010	525	530
35	27	6	Numerals	2010s	2010	525	530
30	27	7	Infinitive_constr	increase	are expected to increase	634	642
33	27	7	Absence_explanation	increase	are expected to increase	634	642
25	28	2	Redundant_comp	are truly believe	truly believe	133	150
58	28	11	Word_choice	mess	mix up	1371	1375
13	28	12	Articles	person	a woman	1418	1424
65	28	12	Coherence	person	a woman	1418	1424
64	28	12	Verb_pattern	consideres as	considers to be	1533	1546
32	28	12	Spelling	consideres	considers	1533	1543
24	28	13	Spelling	phyhological	psychological 	1585	1597
17	28	13	Articles	phyhological problem	a psychological problem	1585	1605
77	28	18	Modals	mustn't	should	2081	2088
79	28	18	Negation	mustn't	should	2081	2088
46	28	6	Category_confusion	essense of	essentially	677	687
83	28	6	Spelling	essense	essence	677	684
51	28	7	Articles	governmental apporat	the governmental apparatus	898	918
33	28	2	Word_choice	raises	gets worse	91	97
4	28	7	Spelling	apporat	apparatus	911	918
84	28	7	Formational_affixes	apporat	apparatus	911	918
52	28	8	Redundant_comp	diversification of		957	975
34	28	2	Punctuation	,		97	98
81	28	8	Articles	subject	the subjects	976	983
29	28	8	Noun_number	subject	subjects	976	983
8	29	1	Redundant_comp	about		38	43
16	29	4	Redundant_comp	of just		381	388
10	29	1	Word_order	65 years old and over	65 and over years old	44	65
18	29	5	Formational_affixes	old	elderly	493	496
15	29	1	Participial_constr	live	living	66	70
20	29	6	Articles	USA	the USA	667	670
17	30	1	Spelling	Nowaday	Nowadays	0	7
36	30	1	Modals	should	can	100	106
30	30	9	lex_item_choice	amount	numbers	1019	1025
31	30	9	Noun_number	amount	numbers	1019	1025
14	30	2	Tense_form	are absolutely agree	absolutely agree	169	189
37	30	2	Category_confusion	are absolutely agree	absolutely agree	169	189
10	30	4	Linking_device	is a person male or female	if a person is male or female	382	408
13	30	4	Word_order	is a person male or female		382	408
21	30	8	Word_order	suits more for male students	suits male students better	791	819
22	30	8	Comparative_constr	more	better	797	801
35	30	1	Relative_clause	, which	which	92	99
26	30	9	Category_confusion	studying	study	947	955
25	30	9	Articles	studying group	a study group	947	961
1	31	2	Spelling	ammount	amount	200	207
17	31	2	suggestion	ammount	percentage	200	207
19	31	3	Word_order	a half more than this we can see		269	301
18	31	3	suggestion	a half more than this		269	290
33	31	8	suggestion	according to the predictions	, according to the predictions,	745	773
11	31	1	suggestion	USA		77	80
9	31	8	Prepositions	by the year of 2040		774	793
14	32	10	Word_order	usually boys are better in physics	boys are usually better at physics	1014	1048
27	32	10	Prepositional_adjective	better in	better at	1031	1040
33	32	18	Category_confusion	acception	accepting	1684	1693
2	32	18	Spelling	acception	accepting	1684	1693
25	32	4	Articles	the equal number	equal numbers	412	428
36	32	4	Noun_number	number	numbers	422	428
18	32	8	Articles	the equal ammount	an equal number	808	825
11	32	8	lex_item_choice	ammount	numbers	818	825
1	32	8	Spelling	ammount	amount	818	825
31	33	1	Coherence	1 thousand	a hundred	102	112
6	33	13	Punctuation	Moreover	Moreover,	1028	1036
25	33	5	Absence_comp_sent	The most amount of changes connected with proportion of population in Sweden	The most significant number of changes connected with the proportion of population is in Sweden	309	385
27	33	5	lex_item_choice	amount	number	318	324
1	33	6	Spelling	shockly	shockingly	517	524
36	33	6	Formational_affixes	shockly	shockingly	517	524
13	33	6	Word_order	shockly increases	has increased shockly	517	534
14	33	6	Tense_choice	shockly increases	has increased shockly	517	534
1	35	1	Spelling	overage	average	38	45
3	35	2	Category_confusion	dramatically	dramatic	447	459
19	35	3	Punctuation	populations	the population,	521	532
17	35	3	Articles	populations	the population	521	532
14	35	3	Noun_number	populations	population	521	532
11	35	4	Articles	USA's	the USA	743	748
16	35	4	Word_order	USA's population	the population of the USA	743	759
25	35	4	Comparison_degree	"more ""calm"""	flatter	763	774
24	35	4	lex_item_choice	"""calm"""	flat	768	774
4	35	4	Category_confusion	dramatically	dramatic	795	807
5	35	1	lex_part_choice	65	65 years old	80	82
25	36	1	Agreement_errors	is	are	12	14
73	36	10	Linking_device	female / male you are or not	whether you are a man or a woman	1233	1261
46	36	10	Word_choice	female / male	a man or a woman	1233	1246
27	36	2	Punctuation	and	, and	139	142
51	36	11	lex_item_choice	give	dictate	1394	1398
52	36	11	Articles	concrete numbers	the numbers	1399	1415
53	36	11	Redundant_comp	concrete		1399	1407
70	36	2	Punctuation	-	,	153	154
75	36	12	Prepositions	between	of	1532	1539
58	36	14	Redundant_comp	modern		1756	1762
57	36	14	Articles	modern society	the society	1756	1770
10	36	3	Spelling	lelieve	believe	185	192
8	36	15	Spelling	equall	equal	1856	1862
21	36	15	Category_confusion	real	really	1917	1921
22	36	15	Articles	real suitable criteria	a really suitable criterion	1917	1939
20	36	15	Noun_number	criteria	criterion	1931	1939
31	36	5	Confusion_of_structures	there is a necesity	it is necessary	523	542
11	36	5	Spelling	necesity	necessary	534	542
23	36	5	Agreement_errors	these type	this system	580	590
32	36	5	lex_item_choice	type	system	586	590
69	36	2	Word_order	is should male and female students	whether male and female students should	90	124
26	36	2	Linking_device	is should male and female students	is whether male and female students should	90	124
7	37	2	Prepositional_noun	change of	in	105	114
31	37	10	Category_confusion	demography	demographic	1053	1063
1	37	3	Spelling	compacative	compared	216	227
11	37	3	Category_confusion	compacative country	country in this comparison	216	235
3	37	5	Tense_choice	is guaducelly increasing	gradually increases	445	469
2	37	5	Spelling	guaducelly	gradually	448	458
14	37	5	Agreement_errors	this	these	477	481
17	37	1	Redundant_comp	group of	of people	48	56
15	37	5	Comparative_constr	like	, just as it does	492	496
18	37	6	Absence_explanation	had been decreasing	decreased in number	567	586
4	37	6	Tense_choice	had been decreasing	decreased in number	567	586
36	37	6	Word_order	1983 approximately	around 1983	600	618
35	37	6	Prepositions	approximately	around	605	618
20	37	6	Articles	drammatic increase	a dramatic increase	678	696
5	37	6	Spelling	drammatic	dramatic	678	687
28	37	9	Punctuation	As a result of change	As a result of the change,	916	937
27	37	9	Articles	change	the change	931	937
31	38	1	Verb_pattern	give the same rights and possibilities for	give the same rights and possibilities to	109	151
6	38	11	Spelling	Thirsty	Thirdly	1099	1106
45	38	11	Relative_clause	, who was not accepted by university,	who was not accepted by university	1163	1200
18	38	11	Prepositions	by	accepted to	1186	1188
47	38	12	Noun_number	student of university	a university student	1253	1274
48	38	12	Articles	student of university	a university student	1253	1274
13	38	1	Noun_number	sex	genders	157	160
32	38	1	lex_item_choice	sex	genders	157	160
9	38	15	Countable_uncountable	knowledges	knowledge	1571	1581
30	38	1	lex_item_choice	consist of	enroll	45	55
3	38	5	Spelling	cues	cars	476	480
29	38	1	lex_item_choice	parts	numbers	62	67
4	38	6	Spelling	warheas	workers	668	675
44	39	8	lex_item_choice	member	number	1021	1027
25	39	8	Spelling	member	number	1021	1027
41	39	8	Redundant_comp	of that catagory		1055	1071
18	39	2	Spelling	seem	seen	106	110
2	39	8	Spelling	catagory	category	1063	1071
27	39	2	Punctuation	it	. It	241	243
28	39	2	Capitalisation	it	. It	241	243
17	39	7	Category_confusion	japan	Japanese	872	877
4	39	7	Capitalisation	japan	Japanese	872	877
1	39	7	Spelling	perpertual	perpetual	898	908
37	39	7	lex_item_choice	perpertual	permanent	898	908
38	39	7	Comparative_constr	dramatically more in contrast to	more dramatically than	927	959
24	39	7	Word_order	dramatically more	more dramatically 	927	944
2	40	12	Absence_comp_sent	there only 10 girls and 20 boys in group	there are only 10 girls and 20 boys in a group	1158	1198
34	40	12	Articles	group	a group	1193	1198
28	40	2	Inappropriate_register	doesn't	does not	153	160
9	40	15	Absence_explanation	strongly believe	I strongly believe	1553	1569
24	40	6	Redundant_comp	and personal talants and capabilities	personal talents	537	574
27	40	6	Redundant_comp	and		537	540
20	41	2	lex_item_choice	amount	proportion	207	213
19	41	1	Articles	an information	the information	21	35
17	41	2	Prepositions	from	in	224	228
9	41	1	lex_item_choice	amount	percentage	46	52
1	41	4	Tense_choice	grew	grows	462	466
8	41	7	Absence_explanation	presented	presented in the task	874	883
6	41	7	Word_order	presented countries	the countries presented in the task	874	893
7	41	7	Articles	presented countries	the countries presented in the task	874	893
11	42	1	Articles	the equal number	an equal number	59	75
6	42	5	Spelling	alltogether	all together	696	707
2	43	2	Articles	population	the elderly population	108	118
9	43	2	Absence_explanation	population	elderly population	108	118
24	43	10	Conjunctions	the USA	and the USA	1109	1116
22	43	7	lex_part_choice	representing		714	726
20	43	7	Prepositions	representing	of	714	726
26	43	8	Articles	predictions to	the predictions for	762	776
25	43	8	Prepositional_noun	predictions to	the predictions for	762	776
17	43	2	Redundant_comp	certain		86	93
5	43	8	Tense_choice	will rise	is expected to rise	862	871
4	44	1	Linking_device	Due to	according to	0	6
7	44	1	Punctuation	Due to the principles of the International law	According to the principles of the International law,	0	46
20	44	10	Inappropriate_register	he	he or she	1001	1003
21	44	12	lex_item_choice	propostion	proportion	1153	1163
1	44	12	Spelling	propostion	proportion	1153	1163
6	44	14	Spelling	bistribute	distribute	1397	1407
39	44	14	Verb_pattern	bistribute males and females during educational process in	distribute males and females during educational process into	1397	1455
9	44	2	Spelling	spheares	spheres	142	150
3	44	14	Spelling	equaly	equally	1473	1479
11	44	3	Punctuation	This rule also concerns educational process	This rule also concerns educational process:	160	203
26	44	16	Infinitive_constr	trying	to try	1707	1713
32	44	1	Capitalisation	International	international	29	42
13	44	4	Word_choice	equaly	in equal numbers	402	408
8	44	1	Modals	could	should	53	58
15	44	5	Negation	is not suit	does not suit	550	561
17	44	5	Linking_device	take heavy things	for example, carry heavy things	568	585
16	44	5	lex_item_choice	take	carry	568	572
18	44	7	Absence_comp_sent	more priority	of higher priority	715	728
31	44	7	lex_item_choice	more	higher	715	719
10	45	2	lex_item_choice	are devided on	give	115	129
8	45	2	Spelling	devided	divided	119	126
24	45	2	Spelling	3	three	130	131
23	45	2	Coherence	3 groups with countries	for the three countries	130	153
15	45	2	Articles	countries	for the three countries	144	153
43	45	2	Spelling	100 year	100-year 	203	211
1	45	1	lex_part_choice	a number of people after 65 years old in percentage from number of all people	the percentage of people 65 years old and over	21	98
22	45	1	Articles	a number	the percentage	21	29
26	45	3	Prepositions	from	in	271	275
13	45	4	Articles	slightly decrease	a slight decrease	325	342
12	45	4	Category_confusion	slightly	slight	325	333
17	45	5	lex_item_choice	become	began	414	420
36	45	5	Tense_choice	become	began	414	420
20	45	6	Punctuation	According to graph	According to the graph,	443	461
18	45	6	Articles	graph	the graph	456	461
33	45	11	lex_part_choice	numbers	percentage number	764	771
34	45	11	Noun_number	numbers	percentage number	764	771
37	45	12	Numerals	10 percent aged people	10 percent of elderly people	832	854
5	45	12	lex_item_choice	aged	elderly	843	847
10	46	1	Capitalisation	Universities	universities	128	140
7	46	18	Linking_device	it is important Universities should	it is important that universities should	1357	1392
13	46	4	Word_order	influence by it for study	studies influenced by it	324	349
14	46	4	Category_confusion	influence	influenced	324	333
4	46	1	Prepositions	to	for	44	46
20	46	6	lex_item_choice	entering in	applying for	455	466
2	46	6	Spelling	humanitariaty	humanity	467	480
19	46	6	Category_confusion	humanitariaty	humanities	467	480
24	46	7	Possessive	sex of student	a student's gender	556	570
25	46	7	lex_item_choice	sex	gender	556	559
26	46	7	Conjunctions	to take	whether to accept	611	618
27	46	7	lex_item_choice	take	accept	614	618
9	46	1	Relative_clause	, when	in which	71	77
29	46	9	lex_part_choice	From the other hand	On the other hand	725	744
31	46	11	Relative_clause	, which don't conected with study,	which aren't connected with studying	888	922
33	46	11	Voice	don't conected	aren't connected	896	910
32	46	11	Spelling	conected	connected	902	910
36	46	12	Numerals	8	8th	980	981
37	46	12	Numerals	8 March	March 8th	980	987
8	47	1	Redundant_comp	people's		40	48
13	47	5	Tense_form	is slightly falled	slightly fell	442	460
19	47	8	Modals	is sharply go up	is sharply to go up	792	808
29	47	8	Word_order	sharply go up	go up sharply	795	808
26	48	10	Modals	can easy to work	can easily work	1023	1039
59	48	10	Coherence	can	could	1023	1026
