mistake_id	text_id	sentence_id	mistake_type	error_span	correction	span_start	span_end	year	type
14	77	7	Word_order	people in 1998 worked in education sector in the age of 46-55	people at the age of 46-55 worked in education sector in 1998	898	959	Exam2014_Task 1	Overlap
39	77	7	Word_order	in 1998 worked in education sector	worked in education sector in 1998	905	939	Exam2014_Task 1	Overlap
37	77	7	Ref_device	was	was that of	1002	1005	Exam2014_Task 1	Coincide
16	77	7	Agreement_errors	was	were	1002	1005	Exam2014_Task 1	Coincide
5	79	4	Tense_choice	has been registrated	was registered	420	440	Exam2014_Task 1	Overlap
12	79	4	Spelling	registrated	registered	429	440	Exam2014_Task 1	Overlap
12	79	4	Spelling	registrated	registered	429	440	Exam2014_Task 1	Coincide
18	79	4	Formational_affixes	registrated	registered	429	440	Exam2014_Task 1	Coincide
28	83	5	Tense_choice	was declicling	declined	534	548	Exam2014_Task 1	Overlap
1	83	5	Spelling	declicling	declining	538	548	Exam2014_Task 1	Overlap
6	83	6	Absence_comp_sent	the elder people	the older the people were,	579	595	Exam2014_Task 1	Overlap
31	83	6	Comparison_degree	elder	older	583	588	Exam2014_Task 1	Overlap
12	83	8	Category_confusion	worked	working	892	898	Exam2014_Task 1	Coincide
13	83	8	Absence_comp_sent	worked	who worked	892	898	Exam2014_Task 1	Coincide
11	85	5	Spelling	of her	other	754	760	Exam2014_Task 1	Overlap
12	85	5	Articles	of her sectors	the other sectors	754	768	Exam2014_Task 1	Overlap
1	87	3	Spelling	envolved	involved	278	286	Exam2014_Task 1	Coincide
2	87	3	Voice	envolved	were involved	278	286	Exam2014_Task 1	Coincide
18	89	4	Tense_form	are	is	377	380	Exam2014_Task 1	Overlap
19	89	4	Tense_choice	are plummefed	plummeted	377	390	Exam2014_Task 1	Overlap
15	89	4	Spelling	plummefed	plummeted	381	390	Exam2014_Task 1	Overlap
27	89	5	Prepositions	increasing the level	increasing of the level	596	616	Exam2014_Task 1	Overlap
54	89	5	Category_confusion	increasing	increase	596	606	Exam2014_Task 1	Overlap
33	89	5	Discourse	that areas	technology	643	653	Exam2014_Task 1	Overlap
31	89	5	Ref_device	that	this	643	647	Exam2014_Task 1	Overlap
34	89	5	Absence_comp_sent	was	; it was	654	657	Exam2014_Task 1	Overlap
35	89	5	Tense_choice	was growing	it had grown	654	665	Exam2014_Task 1	Overlap
38	89	5	Inappropriate_register	ofcourse		745	753	Exam2014_Task 1	Coincide
36	89	5	Spelling	ofcourse	of course	745	753	Exam2014_Task 1	Coincide
2	91	1	Absence_comp_sent	sectors	different sectors	77	84	Exam2014_Task 1	Overlap
3	91	1	Word_order	sectors in UK such as building, education and other	different sectors such as building, education and other ones in the UK	77	128	Exam2014_Task 1	Overlap
1	91	1	Articles	UK	the UK	88	90	Exam2014_Task 1	Overlap
6	91	2	Spelling	sectore	sector	247	254	Exam2014_Task 1	Overlap
7	91	2	Articles	sectore of technology	the sector of technology	247	268	Exam2014_Task 1	Overlap
10	91	4	Absence_comp_sent	groups	age groups	373	379	Exam2014_Task 1	Coincide
11	91	4	Articles	groups	the age groups	373	379	Exam2014_Task 1	Coincide
9	95	2	Category_confusion	decreasing	decrease	185	195	Exam2014_Task 1	Coincide
10	95	2	Articles	decreasing	a decrease	185	195	Exam2014_Task 1	Coincide
3	97	1	Noun_number	numbers	the number	35	42	Exam2014_Task 1	Coincide
4	97	1	Articles	numbers	the number	35	42	Exam2014_Task 1	Coincide
5	99	2	Word_order	has been changed the number of people	the number of people had changed	127	164	Exam2014_Task 1	Overlap
7	99	2	Voice	has been changed	had changed	127	143	Exam2014_Task 1	Overlap
7	99	2	Voice	has been changed	had changed	127	143	Exam2014_Task 1	Coincide
8	99	2	Tense_choice	has been changed	had changed	127	143	Exam2014_Task 1	Coincide
15	101	4	lex_part_choice	rose up	rose	543	550	Exam2014_Task 1	Overlap
7	101	4	Comparative_constr	rose up by several times	rose to several times as high	543	567	Exam2014_Task 1	Overlap
36	103	2	Articles	the several trend	several trends	184	201	Exam2014_Task 1	Overlap
10	103	2	Noun_number	trend	trends	196	201	Exam2014_Task 1	Overlap
37	103	3	Absence_comp_sent	here it can be seen	we can see here is	255	274	Exam2014_Task 1	Overlap
51	103	3	lex_item_choice	it	that	260	262	Exam2014_Task 1	Overlap
38	103	4	Absence_comp_sent	in age	at the age of	378	384	Exam2014_Task 1	Coincide
12	103	4	Prepositions	in age	at the age of	378	384	Exam2014_Task 1	Coincide
3	109	2	lex_item_choice	work	jobs	223	227	Exam2014_Task 1	Coincide
11	109	2	Noun_number	work	jobs	223	227	Exam2014_Task 1	Coincide
16	111	1	Word_order	will be shown the main features of a quantity of people in each age group working in a hotel, building, technology, education sectors in the UK in 1998 and 2006	the main changes in the number of people working in a hotel, building, technology, education sectors in the UK in 1998 and 2006 will be shown for each age group	14	174	Exam2014_Task 1	Overlap
15	111	1	lex_item_choice	features of a quantity	changes in the number	37	59	Exam2014_Task 1	Overlap
17	111	2	lex_part_choice	exept of	except	252	260	Exam2014_Task 1	Overlap
4	111	2	Spelling	exept	except	252	257	Exam2014_Task 1	Overlap
6	111	3	Spelling	evolved	involved	326	333	Exam2014_Task 1	Overlap
7	111	3	Word_order	evolved people	people involved	326	340	Exam2014_Task 1	Overlap
21	111	4	Comparative_constr	to work 2 times less people	for twice as few people to work	422	449	Exam2014_Task 1	Coincide
39	111	4	Word_order	to work 2 times less people	for twice as few people to work	422	449	Exam2014_Task 1	Coincide
14	113	3	Articles	education sphere	the educational sphere	247	263	Exam2014_Task 1	Overlap
15	113	3	Category_confusion	education	educational	247	256	Exam2014_Task 1	Overlap
32	113	4	Articles	sector of building	the building sector	445	463	Exam2014_Task 1	Coincide
16	113	4	Word_choice	sector of building	the building sector	445	463	Exam2014_Task 1	Coincide
21	117	2	Absence_comp_sent	under-graduate	undergraduate education	168	182	Exam2014_Task 1	Coincide
22	117	2	Spelling	under-graduate	undergraduate	168	182	Exam2014_Task 1	Coincide
2	120	1	Articles	Post-school qualification	the post-school	44	69	Exam2014_Task 1	Overlap
1	120	1	Capitalisation	Post-school	post-school	44	55	Exam2014_Task 1	Overlap
11	120	4	Capitalisation	According	according	349	358	Exam2014_Task 1	Overlap
12	120	4	Punctuation	According to the graph	according to the graph,	349	371	Exam2014_Task 1	Overlap
21	121	7	Spelling	prefferece	preference	733	743	Exam2014_Task 1	Coincide
22	121	7	Articles	prefferece	the	733	743	Exam2014_Task 1	Coincide
11	125	2	Absence_explanation	woman	women in percentage	128	133	Exam2014_Task 1	Coincide
7	125	2	Noun_number	woman	women	128	133	Exam2014_Task 1	Coincide
2	126	2	Word_order	got skilled vocational diploma mere 10%	, of whom mere 10% got skilled vocational diploma 	239	278	Exam2014_Task 1	Coincide
12	126	2	Absence_comp_sent	got skilled vocational diploma mere 10%	, of whom mere 10% got skilled vocational diploma	239	278	Exam2014_Task 1	Coincide
1	128	2	Spelling	absolytely	absolute	134	144	Exam2014_Task 1	Coincide
7	128	2	Category_confusion	absolytely	absolute	134	144	Exam2014_Task 1	Coincide
5	136	3	Prepositions	In	On	261	263	Exam2014_Task 1	Overlap
7	136	3	Ref_device	In the contrast	On the one hand,	261	276	Exam2014_Task 1	Overlap
13	140	4	Punctuation	which chose qualifications which called Bachelor's degree	, which chose qualifications which called Bachelor's degree,	413	470	Exam2014_Task 1	Overlap
12	140	4	Relative_clause	which	who	413	418	Exam2014_Task 1	Overlap
17	140	5	Punctuation	On the other hands	On the other hand,	559	577	Exam2014_Task 1	Overlap
16	140	5	Agreement_errors	hands	hand	572	577	Exam2014_Task 1	Overlap
18	140	5	Absence_comp_sent	took skilled vocation diploma	who took skilled vocation diploma	607	636	Exam2014_Task 1	Coincide
19	140	5	Punctuation	took skilled vocation diploma	, who took skilled vocation diploma	607	636	Exam2014_Task 1	Coincide
3	142	2	Word_order	It is clear that occupies most of the skilled vocational diploma	It is clear that the favourite qualification was the skilled vocational diploma	88	152	Exam2014_Task 1	Coincide
4	142	2	Absence_comp_sent	It is clear that occupies most of the skilled vocational diploma	It is clear that the favourite qualification was the skilled vocational diploma	88	152	Exam2014_Task 1	Coincide
7	144	2	Word_order	men had skilled vocational diploma approximately 100%	almost 100% of men had skilled vocational diploma	141	194	Exam2014_Task 1	Overlap
9	144	2	lex_item_choice	approximately	almost	176	189	Exam2014_Task 1	Overlap
11	144	2	lex_part_choice	trend	trended towards	211	216	Exam2014_Task 1	Coincide
10	144	2	Tense_choice	trend	trended towards	211	216	Exam2014_Task 1	Coincide
4	146	3	Ref_device	In oppozite	However,	238	249	Exam2014_Task 1	Overlap
1	146	3	Spelling	oppozite	opposite	241	249	Exam2014_Task 1	Overlap
17	146	4	Word_order	it is higher on 10% percant of women who held f Postgraduate diploma	the percentage of women, who held the postgraduate diploma is higher by 10%	426	494	Exam2014_Task 1	Overlap
13	146	4	Prepositions	on	by	439	441	Exam2014_Task 1	Overlap
18	146	5	Word_order	only has percentage of women little bit higher than men	the percentage of women is slightly higher	592	647	Exam2014_Task 1	Overlap
20	146	5	Redundant_comp	only has		592	600	Exam2014_Task 1	Overlap
25	146	6	Absence_comp_sent	a little level of women	, although a little number of women	710	733	Exam2014_Task 1	Overlap
24	146	6	lex_item_choice	level	number	719	724	Exam2014_Task 1	Overlap
4	150	2	Spelling	mens	men	171	175	Exam2014_Task 1	Coincide
13	150	2	Noun_number	mens	men	171	175	Exam2014_Task 1	Coincide
9	152	1	Word_order	qualifications of post school	of post-school qualifications	42	71	Exam2014_Task 1	Overlap
10	152	1	Spelling	post school	post-school	60	71	Exam2014_Task 1	Overlap
15	152	2	Category_confusion	males	men	277	282	Exam2014_Task 1	Coincide
14	152	2	Redundant_comp	males	more men	277	282	Exam2014_Task 1	Coincide
14	153	4	Punctuation	According to bar chart	According to the bar chart,	257	279	Exam2014_Task 1	Overlap
9	153	4	Articles	bar chart	the bar chart	270	279	Exam2014_Task 1	Overlap
16	153	6	Word_order	the skilled vocational diploma gave up just 10 percent of females	just 10 percent of females had a skilled vocational diploma	376	441	Exam2014_Task 1	Overlap
18	153	6	Articles	the skilled vocational diploma	a skilled vocational diploma	376	406	Exam2014_Task 1	Overlap
27	153	9	Derivation	respectitevly	respectively	629	642	Exam2014_Task 1	Coincide
2	153	9	Spelling	respectitevly	respectively	629	642	Exam2014_Task 1	Coincide
3	155	4	Spelling	post-schoot	post-school	324	335	Exam2014_Task 1	Coincide
10	155	4	Absence_explanation	post-schoot	post-school institutions	324	335	Exam2014_Task 1	Coincide
4	157	1	Absence_comp_sent	compares of Australian woman and man	compares percentage numbers of Australian women and men	10	46	Exam2014_Task 1	Overlap
3	157	1	Noun_number	woman and man	women and men	33	46	Exam2014_Task 1	Overlap
6	157	3	Comparative_constr	nine times higer than	nine times as high as	219	240	Exam2014_Task 1	Overlap
1	157	3	Spelling	higer	higher	230	235	Exam2014_Task 1	Overlap
13	157	6	Word_order	more men secured a master's degree than woman	more men than women secured a master’s degree	482	527	Exam2014_Task 1	Overlap
12	157	6	Noun_number	woman	women	522	527	Exam2014_Task 1	Overlap
9	158	4	Absence_explanation	chosen by man	chosen more often by men	276	289	Exam2014_Task 1	Overlap
8	158	4	Noun_number	man	men	286	289	Exam2014_Task 1	Overlap
11	158	5	Spelling	post graduate	postgraduate	392	405	Exam2014_Task 1	Overlap
15	158	5	Absence_explanation	post graduate diploma and Master's degree	among postgraduate diploma and Master's degree holders	392	433	Exam2014_Task 1	Overlap
14	158	5	Absence_explanation	70% and 60& respectevelly	men made up 70% and 60% respectively	435	460	Exam2014_Task 1	Overlap
12	158	5	Spelling	60 &	60%	443	446	Exam2014_Task 1	Overlap
6	160	1	Articles	the Australian	Australians	63	77	Exam2014_Task 1	Coincide
7	160	1	Noun_number	the Australian	Australians	63	77	Exam2014_Task 1	Coincide
2	162	1	Word_order	qualification of school	of post-school qualifications	38	61	Exam2014_Task 1	Overlap
4	162	1	Noun_number	qualification	qualifications	38	51	Exam2014_Task 1	Overlap
5	162	1	Noun_number	male and female	males and females	97	112	Exam2014_Task 1	Coincide
6	162	1	Absence_explanation	male and female	males and females among degree holders	97	112	Exam2014_Task 1	Coincide
33	164	3	suggestion	The least number of males has undergraduate diploma	нужно поменять порядок слов	205	256	Exam2014_Task 1	Overlap
6	164	3	Tense_choice	has	had	231	234	Exam2014_Task 1	Overlap
36	164	3	Relative_clause	which account for 37 percent	, which account for 37 percent	257	285	Exam2014_Task 1	Coincide
32	164	3	suggestion	which account for 37 percent	non-defining, надо запятую	257	285	Exam2014_Task 1	Coincide
3	166	2	Participial_constr	interesting	interested	160	171	Exam2014_Task 1	Coincide
28	166	2	suggestion	interesting	это всё-таки не voice, я бы поставила participial construction	160	171	Exam2014_Task 1	Coincide
22	170	1	suggestion	revelations		61	72	Exam2014_Task 1	Coincide
26	170	1	lex_item_choice	revelations		61	72	Exam2014_Task 1	Coincide
25	172	2	Category_confusion	near	nearly	294	298	Exam2014_Task 1	Overlap
24	172	2	suggestion	near 92%	punctuation (also, near -> nearly)	294	302	Exam2014_Task 1	Overlap
9	172	8	Word_order	very differ	differed significantly	892	903	Exam2014_Task 1	Overlap
8	172	8	lex_item_choice	very	significantly	892	896	Exam2014_Task 1	Overlap
15	174	3	suggestion	between	among	218	225	Exam2014_Task 1	Coincide
20	174	3	Prepositions	between	among	218	225	Exam2014_Task 1	Coincide
24	178	3	suggestion	the gender.	gender	156	167	Exam2014_Task 1	Overlap
28	178	3	Articles	the gender	gender	156	166	Exam2014_Task 1	Overlap
10	178	4	Absence_comp_sent	As can been seen from bar-chart	As it can been seen from the bar-chart	168	199	Exam2014_Task 1	Coincide
9	178	4	Punctuation	As can been seen from bar-chart	As it can been seen from the bar-chart,	168	199	Exam2014_Task 1	Coincide
8	180	2	Articles	under-graduate	an undergraduate	180	194	Exam2014_Task 1	Coincide
12	180	2	Spelling	under-graduate	an undergraduate	180	194	Exam2014_Task 1	Coincide
5	182	1	Spelling	percantage	the percentage	93	103	Exam2014_Task 1	Coincide
6	182	1	Articles	percantage	the percentage	93	103	Exam2014_Task 1	Coincide
2	184	2	Tense_form	not interested	were not interested	264	278	Exam2014_Task 1	Overlap
3	184	2	Verb_pattern	interested that	interested in that	268	283	Exam2014_Task 1	Overlap
6	184	3	Agreement_errors	was	were held by	362	365	Exam2014_Task 1	Coincide
7	184	3	Absence_comp_sent	was	were held by	362	365	Exam2014_Task 1	Coincide
1	186	1	Spelling	descripts	describes	10	19	Exam2014_Task 1	Coincide
22	186	1	Formational_affixes	descripts	describes	10	19	Exam2014_Task 1	Coincide
21	188	3	Spelling	TO	to	388	390	Exam2014_Task 1	Coincide
12	188	3	Prepositions	TO	by	388	390	Exam2014_Task 1	Coincide
9	190	6	Tense_choice	becomes	started	719	726	Exam2014_Task 1	Coincide
8	190	6	lex_item_choice	becomes	started	719	726	Exam2014_Task 1	Coincide
15	192	7	Articles	the growth	grown	697	707	Exam2014_Task 1	Overlap
16	192	7	Category_confusion	growth	grown	701	707	Exam2014_Task 1	Overlap
30	192	8	Articles	the up word trend	an upward trend	799	816	Exam2014_Task 1	Overlap
17	192	8	Spelling	up word	upward	803	810	Exam2014_Task 1	Overlap
4	194	3	Tense_choice	is	was	301	303	Exam2014_Task 1	Coincide
24	194	3	Agreement_errors	is	are	301	303	Exam2014_Task 1	Coincide
47	198	2	Punctuation	in 1940	, in 1940, 	169	176	Exam2014_Task 1	Overlap
4	198	2	Numerals	1940 year	1940	172	181	Exam2014_Task 1	Overlap
11	198	4	Word_choice	picks up	is going to reach its peak	331	339	Exam2014_Task 1	Coincide
44	198	4	Tense_choice	picks up	is going to reach its peak	331	339	Exam2014_Task 1	Coincide
7	200	3	Absence_explanation	the fall	a fall in the percentage of the elderly	274	282	Exam2014_Task 1	Coincide
26	200	3	Articles	the fall	a fall	274	282	Exam2014_Task 1	Coincide
7	202	1	Tense_choice	has changed	changed	42	53	Exam2014_Task 1	Overlap
6	202	1	Word_order	has changed the number of people who are sixty five or more	the percentage of people who are sixty five or more changed	42	101	Exam2014_Task 1	Overlap
8	202	1	Word_choice	number	percentage	58	64	Exam2014_Task 1	Overlap
10	204	2	Spelling	3 % at	3%, at	335	340	Exam2014_Task 1	Overlap
23	204	2	Relative_clause	at which	, at which	338	346	Exam2014_Task 1	Overlap
6	204	4	Articles	slight grow	a slight growth	555	566	Exam2014_Task 1	Overlap
5	204	4	Category_confusion	grow	growth	562	566	Exam2014_Task 1	Overlap
9	206	2	Confusion_of_structures	the trend of this age group of population in each country upwords	there is an upwards trend for this age group of population in each country	125	190	Exam2014_Task 1	Overlap
3	206	2	Spelling	upwords	upwards	183	190	Exam2014_Task 1	Overlap
14	206	5	Redundant_comp	the trend becomes upword and		510	538	Exam2014_Task 1	Overlap
2	206	5	Spelling	upword	upward	528	534	Exam2014_Task 1	Overlap
22	208	6	Redundant_comp	Interesting,		617	629	Exam2014_Task 1	Overlap
